Time (Seconds),Leakage Current (mA),Earth Resistance (Ohms),Continuity Status
875,1.326190201,74.87047408,1
880,2.791210657,24.37420417,1
885,3.601520021,35.88837821,1
890,3.334967146,44.20930886,1
895,1.471676095,22.31297813,1
900,4.778839875,35.07479334,1
905,3.715694892,66.24818273,1
910,2.816334857,18.3967029,1
915,3.097431657,2.353220028,1
920,2.156040306,52.96203236,1
925,1.313881849,66.43767147,1
930,1.844266125,43.44633994,1
935,3.813445941,31.46407506,1
940,0.170528094,84.17103085,1
945,0.668755938,70.77969044,1
950,0.325412946,55.91101826,1
955,0.299571131,563.2949234,1
960,4.291756862,70.67962435,1
965,3.547923511,90.15212201,1
970,2.423451763,48.43391673,1
975,0.579387387,57.68558519,1
980,2.508917788,65.52024711,1
985,2.420011677,46.10392757,1
990,0.948689163,49.70533597,1
995,2.225873081,4.245972124,1
1000,2.052673199,92.28936176,1
1005,3.11766548,94.84895774,1
1010,93.01256402,93.33027901,1
1015,0.321989648,6.443145927,1
1020,1.935601812,0.20131251,1
1025,3.166713587,6.045087619,1
1030,2.565367667,57.07981695,1
1035,4.296800222,42.42169519,1
1040,3.327598795,99.1046262,1
1045,0.898378693,78.37603353,1
1050,0.445786862,67.20494216,1
1055,3.247854463,12.85672203,1
1060,0.229905422,38.26343843,1
1065,2.970300348,87.51530896,1
1070,4.707128183,72.95297045,1
1075,2.919823472,2.937544676,1
1080,2.002032638,32.05974623,0
1085,3.25211227,63.42651517,1
1090,2.345439163,52.4667768,1
1095,2.773522268,98.60897708,1
1100,4.713177563,54.11942865,1
1105,1.991902925,67.85876501,1
1110,4.809833763,78.17874156,1
1115,4.536218146,31.35497312,1
1120,1.05937656,88.01129113,1
1125,0.439870374,1.659550612,1
1130,0.593812207,96.29416506,1
1135,0.189286946,54.72717619,1
1140,0.562770508,3.534299048,1
1145,3.44673319,60.44267914,1
1150,0.448824377,20.43305771,1
1155,1.662980588,86.86959012,1
1160,4.239889024,42.88809293,1
1165,0.214032485,56.69125164,1
1170,4.090895565,94.77461099,1
1175,1.481088396,13.97088491,1
1180,0.679007655,16.14686325,1
1185,3.51401211,11.82763887,0
1190,3.181819949,189.2964217,1
1195,4.399612866,56.53202846,1
1200,3.701848115,11.62948062,1
1205,4.037056559,34.2374366,1
1210,1.481969406,12.29239268,1
1215,0.969453765,47.2701935,1
1220,3.778012283,3.412832326,1
1225,4.053490222,35.92240865,1
1230,4.953475196,89.33640069,1
1235,2.121826617,43.21937862,1
1240,1.92288862,83.82281955,1
1245,3.904423508,18.61444509,1
1250,1.769937347,42.36735443,1
1255,4.660710895,846.0589937,1
1260,4.306222484,1.208076237,1
1265,2.202070734,91.19889466,1
1270,3.779268232,653.0588147,1
1275,3.797260083,20.01477873,1
1280,0.605306957,17.07711488,1
1285,4.522509243,66.22094616,1
1290,2.575736625,17.16766892,1
1295,4.149641584,64.06125595,1
1300,1.668243045,69.41918237,1
1305,4.48806382,53.8316909,1
1310,2.007088226,23.48640994,1
1315,0.153104492,89.45510724,1
1320,4.536371684,29.27983402,1
1325,0.547304716,53.78721068,1
1330,1.664636824,24.99858598,1
1335,4.755303639,85.53739941,1
1340,4.75797502,54.0980224,1
1345,2.909845652,87.04959831,1
1350,3.19600234,45.02798365,1
1355,2.297383058,21.82815589,1
1360,1.536732781,58.93292189,0
1365,1.710456272,28.9364507,0
1370,3.395340435,541.3179321,1
1375,3.786635194,231.592686,1
1380,3.978737314,58.27518256,1
1385,3.9691289,17.89491057,1
1390,0.546909905,88.88999856,1
1395,2.522659493,57.99967605,1
1400,0.382037924,70.34279262,1
1405,2.792691523,326.3572112,1
1410,2.263499457,78.38953834,1
1415,4.449750496,28.18176659,1
1420,1.819483562,35.15041506,1
1425,0.67362838,2.321712131,1
1430,0.800659242,6.77137821,1
1435,3.831402095,18.63381163,1
1440,3.12926851,9.569032826,1
1445,0.595501113,2.446827682,1
1450,0.51212335,37.45057881,1
1455,3.534748744,77.37461938,1
1460,0.456538731,24.97876731,1
1465,4.127114291,37.5017959,1
1470,3.560586913,55.21356446,1
1475,0.498609025,36.71626426,1
1480,0.515704799,95.61515903,1
1485,4.934533935,21.91134887,1
1490,1.933926899,44.69071997,1
1495,1.916146521,85.70328356,1
1500,4.08271788,31.7882445,1
1505,4.741518029,16.09343598,0
1510,4.931405213,91.51362465,0
1515,3.791553108,58.91423227,1
1520,1.943671969,51.95354897,1
1525,0.509153512,13.23553356,1
1530,3.908019888,7.474516415,1
1535,2.836180824,93.00481309,1
1540,2.178687845,166.8026952,1
1545,4.541136487,48.96517104,1
1550,0.644867663,76.08620873,1
1555,2.513863011,72.91768185,1
1560,0.155632859,66.48863319,1
1565,2.396437146,432.2948151,1
1570,0.375886051,65.70391097,1
1575,0.68220779,17.32325004,1
1580,0.675878609,57.02736514,1
1585,3.28113048,62.86882396,1
1590,3.755619908,25.24766823,1
1595,2.958506949,45.40285208,1
1600,4.814645488,33.49786719,1
1605,1.93686584,95.75155804,1
1610,1.499989223,84.64454744,1
1615,4.356135728,21.60400308,1
1620,1.195619609,7.339785801,1
1625,4.819790443,51.93267669,1
1630,90.25229359,32.21284007,1
1635,4.852406251,92.11338449,1
1640,0.311483569,24.94063825,1
1645,4.466601257,25.37987788,1
1650,2.685735435,32.72811137,0
1655,4.965527501,9.815923008,1
1660,0.461603167,52.57733231,1
1665,2.813885994,26.40517829,1
1670,4.849582425,40.50480132,1
1675,2.663179436,60.80259088,1
1680,3.184053327,58.52729382,1
1685,3.509168576,31.09728247,1
1690,2.327251217,14.88685128,1
1695,3.175034592,68.15600076,1
1700,2.963140128,2.207728982,1
1705,4.515674251,72.08759904,1
1710,0.322687264,57.49328304,1
1715,1.476719629,42.48110686,1
1720,4.757016272,139.8840407,0
1725,4.462292541,84.61541433,0
1730,2.332718089,8.149612309,1
1735,3.138649729,998.5830387,1
1740,1.459167797,18.49548069,1
1745,1.021793683,21.12459729,1
1750,2.372122184,71.29677757,1
1755,1.831425917,99.79983165,1
1760,2.959914948,21.74085087,1
1765,0.480899721,60.33223881,0
1770,4.874534558,87.39215171,1
1775,4.932432648,40.29133029,1
1780,3.520992399,67.90970107,1
1785,2.726872195,9.021935063,1
1790,1.61668532,22.84787695,1
1795,4.087595597,99.23895584,1
1800,3.455182746,56.94270339,1
1805,0.896823003,50.52677083,1
1810,4.563543204,6.091186132,1
1815,4.13043249,24.65142924,1
1820,4.754019575,78.10576287,1
1825,3.656025591,46.64687131,1
1830,3.10573446,71.91869512,1
1835,2.149390878,91.92325891,1
1840,4.670369568,81.583065,1
1845,39.42322317,17.19961113,1
1850,0.321571484,69.5818481,1
1855,0.229198175,69.55368392,1
1860,1.944670498,98.23234679,1
1865,4.071711321,51.0616765,1
1870,4.937653034,45.19256767,1
1875,0.837042766,71.35373131,1
1880,3.011240505,250.2471644,1
1885,1.966365197,58.30597743,1
1890,4.852580549,68.71328527,1
1895,4.226382723,88.33917214,1
1900,4.207810653,79.22032187,1
1905,2.396596483,14.12390817,1
1910,2.132615561,891.6163468,1
1915,1.439694652,53.3846827,1
1920,0.376239934,70.97815159,1
1925,4.337139644,93.43036814,1
1930,4.083214945,79.38282255,1
1935,4.998616599,77.84931017,1
1940,4.983520502,60.8590031,1
1945,2.821615357,94.432421,1
1950,3.868038334,32.2611146,1
1955,4.729352076,33.70813444,1
1960,4.263272214,504.7799006,1
1965,74.51903394,91.87715906,1
1970,2.307666263,21.79509572,1
1975,0.732881134,7.782621886,1
1980,4.774850034,561.4790788,1
1985,3.070255709,46.51779118,1
1990,1.220349747,67.31992556,1
1995,3.391333354,31.73961391,1
2000,3.128828378,81.5116991,1
2005,1.854997318,53.28379634,1
2010,0.656432202,98.39631626,1
2015,3.390708658,10.06959075,1
2020,2.649507734,96.3056638,1
2025,3.88436012,88.27780861,1
2030,2.648801155,73.75018741,1
2035,4.275689352,75.59795967,1
2040,2.80434351,37.42233123,1
2045,2.848596061,53.1953727,1
2050,4.395602653,42.63863977,1
2055,2.077066044,81.06694731,1
2060,0.756674619,56.34330561,1
2065,0.241035114,66.33638667,1
2070,3.800172553,45.40285751,1
2075,3.139516802,34.4853031,1
2080,3.549990864,40.37160267,1
2085,1.143524391,37.30559436,1
2090,0.76822023,3.169341477,1
2095,0.171268862,70.6788616,1
2100,1.817879038,78.3181574,1
2105,2.990596666,60.34268972,1
2110,2.021995821,369.0957384,1
2115,2.243627118,70.0986173,1
2120,4.530377603,9.525444785,0
2125,1.806451788,92.56979207,1
2130,2.618548497,65.2009567,1
2135,3.939899762,72.44523431,1
2140,2.043059633,52.26633494,1
2145,3.148224831,63.40942323,1
2150,4.325582173,61.34041686,1
2155,4.752651056,17.40482938,1
2160,0.820660057,56.45834366,1
2165,4.640279363,49.97422917,1
2170,2.511369836,6.437635208,1
2175,1.365397503,51.90449995,1
2180,2.349765206,97.32787232,1
2185,4.902159619,76.1222278,1
2190,2.513828661,21.62513878,1
2195,65.13367513,61.00766066,1
2200,3.203664186,22.77676083,1
2205,1.276713532,84.6716358,1
2210,0.471730308,77.57485393,1
2215,0.731510637,98.97257622,1
2220,0.727424611,200.0089525,1
2225,0.844323198,588.6595043,1
2230,0.780253146,86.00970061,0
2235,50.06267359,73.42854629,1
2240,0.991212414,9.179552241,1
2245,1.793769688,8.451653444,1
2250,4.494263209,19.2582283,1
2255,2.422412037,82.36691823,1
2260,3.371032919,14.72547748,1
2265,0.944367369,23.47014903,1
2270,1.042216192,75.06894511,1
2275,0.30025622,58.85528457,0
2280,0.927781809,300.7139997,1
2285,1.465092661,46.76892278,1
2290,0.967351373,79.01778658,1
2295,0.534642415,36.34753353,1
2300,0.691115768,23.67129477,1
2305,2.357815963,67.68735713,1
2310,1.11103522,42.18539552,1
2315,1.884922319,94.7139246,1
2320,2.566744627,68.73835793,1
2325,3.48293466,77.59175512,1
2330,0.292629485,4.400775645,1
2335,4.017110955,44.56087103,1
2340,3.176711909,79.33771535,1
2345,0.500619257,97.16069512,1
2350,4.380535258,87.86798501,1
2355,4.612274763,18.67763414,1
2360,0.399282003,90.93052901,1
2365,1.456700476,78.94540288,1
2370,4.050386271,77.31293132,1
2375,3.766472483,83.6047328,1
2380,1.004152995,17.15771295,1
2385,1.125811684,41.46583486,1
2390,1.915313304,5.142008947,1
2395,2.474162627,4.898249083,1
2400,3.12944838,85.83602364,1
2405,1.907676834,74.7701525,1
2410,2.366420109,36.1669638,1
2415,3.762607597,50.72312385,1
2420,0.279747694,854.7165087,1
2425,1.336941027,45.97167803,1
2430,3.595412971,23.00528195,1
2435,4.486513505,57.44683449,1
2440,2.607219466,82.66685077,1
2445,2.707356078,87.11711931,1
2450,0.625142856,48.1818872,1
2455,2.292320597,88.77011077,1
2460,2.709824606,75.39706303,1
2465,1.288105468,288.9663741,1
2470,1.419291832,88.11036117,1
2475,1.948692399,50.2230675,1
2480,0.198348869,37.24859618,1
2485,1.678187911,82.11314075,0
2490,1.136095234,75.17112742,1
2495,1.704737026,17.38582006,1
2500,0.686834446,2.060781927,1
2505,4.463583676,63.10107151,1
2510,3.008603022,94.91059243,1
2515,3.427601364,22.48641747,0
2520,3.966939069,447.8384757,1
2525,2.542366775,32.83940007,1
2530,0.525909412,177.9084006,1
2535,2.731822055,20.49998894,1
2540,2.975521478,24.77251938,1
2545,3.752653424,35.98657417,1
2550,2.215131777,48.75778195,1
2555,0.725143484,59.3285905,1
2560,1.490501938,74.62850268,1
2565,1.879103252,49.77919621,1
2570,3.264994483,85.37267675,1
2575,2.896813693,12.99824636,1
2580,1.844873957,35.50928388,1
2585,4.933924719,95.68098709,1
2590,3.068296615,17.66013237,1
2595,1.26241128,14.11217901,1
2600,0.598734116,65.68767255,0
2605,0.849009782,74.67040964,1
2610,1.305192869,19.65203001,1
2615,0.887338729,22.91657834,1
2620,1.014178418,41.20856128,1
2625,1.496966327,80.24944314,0
2630,0.949530617,40.36694034,1
2635,4.494150581,58.67179331,1
2640,0.493145354,53.78741356,1
2645,2.670105809,81.83041059,1
2650,2.110944452,91.47400858,1
2655,4.913655223,60.38957529,1
2660,0.648990621,84.82018919,1
2665,2.049492435,29.91073219,0
2670,4.850405123,30.27196248,1
2675,4.340984917,241.9284069,1
2680,4.103653148,98.82863937,1
2685,1.363723853,769.9924239,1
2690,0.937349178,11.22429812,1
2695,3.376351778,17.24477567,1
2700,4.653942347,69.32148526,1
2705,2.828138176,93.12035426,1
2710,2.900902178,33.48485743,1
2715,1.471897559,21.0711004,1
2720,3.870515373,379.3122133,1
2725,1.016514368,13.16076561,0
2730,1.686028258,72.07779866,1
2735,2.184638549,22.28029294,1
2740,2.587290856,537.538187,1
2745,1.287807689,86.99791556,1
2750,44.08343672,58.72704375,1
2755,3.092038208,72.711364,0
2760,1.514289711,65.19644542,1
2765,2.948067285,98.80989885,1
2770,0.856377305,12.18406601,1
2775,2.457586499,88.97138277,1
2780,2.70968822,66.88508471,1
2785,0.35393533,55.52362319,1
2790,1.749360963,42.59975229,1
2795,0.758631917,99.10454799,1
2800,0.410537355,82.22389866,1
2805,4.950805139,1.857962097,1
2810,1.67953384,4.06063944,1
2815,4.068384785,75.92031371,1
2820,1.347739208,53.71114599,1
2825,3.439363339,56.72523894,1
2830,3.825116513,33.03524269,1
2835,3.018629829,92.61074069,0
2840,2.410723324,22.52509137,1
2845,2.118020479,68.06139201,1
2850,1.809454506,6.364314192,1
2855,4.654692807,27.95127293,1
2860,4.170035098,91.29829402,1
2865,4.828631862,43.0675162,1
2870,0.709056395,63.82772153,1
2875,3.681250628,33.88184461,1
2880,4.697868238,61.29401481,1
2885,0.988042024,4.192416794,1
2890,0.42583171,26.09367913,1
2895,3.731491182,91.33465159,1
2900,59.86534199,15.89085889,1
2905,4.224961006,18.27890745,1
2910,0.784884645,49.17090695,1
2915,3.996809828,80.43924112,1
2920,1.087973868,20.65454542,1
2925,0.90191412,86.68468152,1
2930,0.90490241,9.582633188,1
2935,4.091416129,51.9812695,1
2940,3.359466381,31.11160788,1
2945,2.663020581,16.60361285,1
2950,1.858269372,27.31226249,1
2955,4.39828265,77.93334569,1
2960,2.022981026,3.509533969,1
2965,4.101337253,98.48184216,1
2970,2.251761052,72.00030613,1
2975,1.947027704,30.78407377,1
2980,2.36713095,38.04427436,1
2985,1.576751583,40.58635939,1
2990,3.763285963,2.393968342,1
2995,2.563329911,7.485257631,1
3000,1.237842206,32.84899178,1
3005,4.507915409,24.35576512,1
3010,1.981066985,76.57943794,1
3015,2.763409019,22.98643393,1
3020,4.541713344,33.53706196,1
3025,3.15876618,96.19879408,1
3030,0.672800399,84.76633582,1
3035,4.705177406,199.4981042,1
3040,3.17576946,82.83127602,1
3045,1.741037512,63.86897405,1
3050,0.782433156,53.23413117,1
3055,3.990723427,82.91847668,1
3060,3.138356504,34.83523718,1
3065,2.713959351,55.31916775,1
3070,4.480073657,87.01325174,1
3075,3.964126335,10.64092547,1
3080,0.843206911,3.066642373,1
3085,1.627438132,90.68415922,1
3090,1.317596785,795.5370724,1
3095,3.745336834,57.44847112,1
3100,0.26430893,14.00014375,1
3105,2.892459456,99.46305408,1
3110,3.83604756,31.86123156,1
3115,4.39615162,6.399800658,1
3120,1.776200569,43.25376613,1
3125,4.124160793,6.615130423,1
3130,0.642095511,50.63973124,1
3135,4.247616229,41.50467138,1
3140,0.724694445,670.9312843,1
3145,2.046707724,48.14107553,1
3150,65.47801022,68.84827725,1
3155,0.834595394,29.62920659,1
3160,1.223331837,16.75242649,1
3165,3.639037585,66.53529578,1
3170,3.628179029,79.85103263,1
3175,3.241623401,40.82276123,1
3180,3.500347378,1.6958896,1
3185,2.759349772,35.58275528,1
3190,1.333815389,929.0495754,1
3195,1.793910368,77.44423108,1
3200,0.989828812,5.181542265,1
3205,4.551407751,13.11249227,1
3210,2.958619794,49.45499917,1
3215,2.064171942,38.31704575,1
3220,2.363828438,82.06762784,1
3225,4.741688364,82.77769449,1
3230,0.851421875,25.15675434,1
3235,2.972526177,82.79387182,1
3240,2.578854527,10.09467828,1
3245,3.096125754,628.228481,1
3250,0.188739901,25.4302505,1
3255,4.373407154,99.78998291,1
3260,4.667379584,81.43286431,1
3265,2.8691526,21.29225917,1
3270,3.513589037,28.87519098,0
3275,4.620246968,69.56023438,1
3280,3.565469308,88.48227483,1
3285,0.84744131,56.63161255,1
3290,2.923812965,62.35970936,1
3295,3.072903727,15.92672889,0
3300,2.178240289,95.31459088,1
3305,3.708576755,82.42486051,1
3310,4.678398372,31.29950095,1
3315,4.635285713,7.810004745,1
3320,2.30911292,20.96199228,1
3325,0.654866425,69.24780982,1
3330,4.925721875,52.86716361,1
3335,4.210600624,10.60078684,1
3340,0.710847138,47.82262622,1
3345,4.612125225,61.98500466,1
3350,4.362492174,59.68609364,1
3355,2.64230648,74.66319169,1
3360,2.997249635,44.6612771,1
3365,2.055113249,140.9108973,1
3370,0.36833203,44.95302078,0
3375,1.742466484,69.88224654,1
3380,4.033981898,95.95945775,1
3385,0.122696913,588.9437986,1
3390,1.734145941,78.36517646,1
3395,2.051026599,76.77888811,1
3400,2.733238454,50.26341296,1
3405,4.60729252,51.70505728,1
3410,1.797095372,9.181436792,1
3415,91.95862619,44.07518141,1
3420,3.713756116,94.62972795,1
3425,2.31586791,75.60723206,1
3430,1.200563632,31.01360444,1
3435,2.316953629,16.83642165,1
3440,0.7901994,18.74183013,1
3445,0.964296234,13.24821396,1
3450,2.542002086,92.72709503,1
3455,2.152734703,67.21854791,1
3460,4.582744915,78.31023587,1
3465,1.875730106,14.0757435,1
3470,79.93167293,183.6088622,1
3475,3.198095011,80.74566129,1
3480,0.164162837,7.538963591,1
3485,3.351333123,64.68498662,1
3490,0.972376238,74.82285986,1
3495,4.809244556,22.31770217,1
3500,0.828447366,18.50390504,1
3505,2.131658206,50.1731364,1
3510,0.518213374,62.68702952,1
3515,4.984683834,27.08515251,1
3520,2.560755551,67.14798526,1
3525,3.017386585,82.17105325,1
3530,0.428674739,98.34965803,1
3535,3.774806305,70.8966119,1
3540,1.128537406,85.24701737,1
3545,4.500466018,22.69712801,1
3550,1.105184238,21.16507767,1
3555,1.034369831,95.67495408,1
3560,0.279093372,71.91305557,1
3565,2.413128031,11.60967784,1
3570,2.867721553,42.49565534,1
3575,0.421972333,56.13860914,1
3580,3.900085322,22.76190768,1
3585,2.32111529,33.34128989,1
3590,2.66951232,52.83918993,1
3595,2.25973746,61.46170483,1
3600,2.063738998,6.898236008,1
3605,2.842237623,18.75734689,1
3610,0.860677205,49.27168305,1
3615,0.991447839,14.24736732,1
3620,4.322749543,11.60812317,1
3625,4.735965764,980.3502637,1
3630,1.92921565,38.67994162,1
3635,1.426648898,45.35788944,1
3640,3.255597762,30.72703206,1
3645,2.102797438,37.93812567,1
3650,0.224393143,42.84202172,1
3655,0.865147727,71.16672181,1
3660,3.608263921,71.20495907,1
3665,3.328727315,16.28882422,1
3670,0.232770363,29.03776294,1
3675,1.187663593,45.64660477,1
3680,1.232266503,36.28081994,1
3685,3.392274444,8.629112173,1
3690,0.196581635,86.64627183,1
3695,0.610132052,94.5802477,1
3700,4.019588818,75.07205744,1
3705,0.974868844,99.13722346,1
3710,3.298455928,58.01889284,1
3715,1.267095627,81.91225548,1
3720,0.587262825,15.06940569,1
3725,1.291543736,57.83751416,1
3730,3.639107966,13.63387759,1
3735,4.292912694,79.33888289,1
3740,4.168077336,913.2449599,1
3745,2.046199295,51.80028716,1
3750,3.373617169,82.06967698,0
3755,1.104423048,815.0565205,1
3760,1.536423878,38.28457298,1
3765,4.492045511,331.296912,1
3770,0.163709425,72.59133708,1
3775,0.518991801,24.87472541,0
3780,1.11864265,35.84194795,1
3785,0.230007799,57.99728658,1
3790,0.989033632,3.591619621,1
3795,2.956903649,38.73016311,1
3800,2.164980298,80.77416705,1
3805,4.474091384,20.45111613,1
3810,4.105473453,72.53868571,1
3815,1.774905023,77.47537864,1
3820,1.371174824,6.230357284,1
3825,1.9604928,8.874342439,1
3830,2.992445218,71.8251042,1
3835,1.41351184,66.90986061,1
3840,3.158329648,90.20796907,1
3845,2.106117096,45.70173251,1
3850,2.805031186,77.5045354,1
3855,2.237019993,77.2436437,0
3860,1.542882222,54.86938244,1
3865,4.747421204,15.62306822,1
3870,3.841668391,90.04706948,0
3875,0.786554561,51.01751795,1
3880,4.355493082,6.240041909,1
3885,2.488412871,35.14824065,1
3890,4.483305912,18.31381665,1
3895,24.81340197,594.4758883,0
3900,2.183546172,27.65569069,1
3905,0.210099611,79.32058935,1
3910,1.416519061,93.42148374,1
3915,2.754007652,95.62268845,1
3920,3.204043277,29.35626757,1
3925,1.363649659,66.5596299,1
3930,0.782844763,52.83279484,1
3935,4.19115816,97.00273885,1
3940,4.923570685,76.16738958,1
3945,2.675881893,4.946686505,1
3950,0.941228501,87.99156817,1
3955,1.4343059,89.84482858,1
3960,0.190114315,25.35418267,1
3965,4.580064152,81.09699463,0
3970,0.676980306,99.21756741,1
3975,2.92493073,45.40206976,1
3980,1.442870581,70.84943748,1
3985,2.815472212,68.56518271,1
3990,3.291959903,24.95843222,1
3995,4.165734838,38.67975466,1
4000,1.111464232,19.5656738,1
4005,0.15387956,26.43550142,1
4010,0.770739587,40.65299632,1
4015,4.510091345,24.81885428,1
4020,4.38206138,81.49528851,1
4025,3.027324201,15.04810989,1
4030,3.042532616,48.94796188,1
4035,3.358679705,58.49935177,1
4040,0.959319265,39.64788881,1
4045,4.580618535,64.61118611,1
4050,2.151975572,66.48423298,1
4055,1.977378788,83.38958282,1
4060,2.642696756,49.11421637,1
4065,0.330133237,4.410808755,1
4070,0.914788507,93.1569442,1
4075,3.71636472,11.48933595,1
4080,0.505713473,15.12914644,1
4085,3.055445336,81.16153769,1
4090,1.302210637,33.49226117,1
4095,2.007548509,5.959028339,1
4100,1.51459931,8.809713477,1
4105,1.842796311,61.22872882,1
4110,3.623324935,68.15465913,1
4115,1.555896407,4.145966868,1
4120,2.875382737,18.90029105,1
4125,2.432646971,91.43379115,1
4130,3.35198871,96.44971036,1
4135,4.690465723,60.71844499,1
4140,3.689603276,66.45628911,1
4145,1.153207855,99.57896771,1
4150,0.252797362,8.893591183,0
